Shape,Cut,Color,Clarity,Carat,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Length,Width,Height,Price,Type,price_category,price_category_encoded,Cut_encoded,Color_encoded,Clarity_encoded,Polish_encoded,Symmetry_encoded,Girdle_encoded,Carat_category,Carat_category_encoded
Round,Excellent,D,VS1,1.57,1.01,61.4,58.0,Excellent,Excellent,Medium to Slightly Thick,7.44,7.48,4.58,1840,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.5,medium,4
Cushion Modified,Ideal,F,VS1,2.05,1.03,67.2,62.0,Excellent,Excellent,Slightly Thick to Thick,7.42,7.23,4.86,4880,GIA Lab-Grown,very high,5,5,5,5,4.0,4.0,5.5,large,5
Cushion Modified,Ideal,E,VVS2,1.69,1.01,66.6,61.0,Excellent,Excellent,Medium to Slightly Thick,6.96,6.86,4.57,2710,GIA Lab-Grown,medium,3,5,6,6,4.0,4.0,4.5,medium,4
Princess,Ideal,E,VS2,1.0,1.02,72.1,70.0,Excellent,Very Good,Medium to Slightly Thick,5.62,5.53,3.99,3430,GIA,medium,3,5,6,4,4.0,3.0,4.5,extra small,2
Round,Ideal,E,VS1,1.58,1.0,61.2,57.0,Excellent,Excellent,Thin to Medium,7.51,7.54,4.6,1840,IGI Lab-Grown,low,2,5,6,5,4.0,4.0,3.5,medium,4
Round,Ideal,D,VS1,1.58,1.01,61.1,57.0,Excellent,Excellent,Medium,7.49,7.54,4.59,1850,IGI Lab-Grown,low,2,5,7,5,4.0,4.0,4.0,medium,4
Princess,Ideal,E,VS1,1.24,1.01,72.7,70.0,Excellent,Excellent,Medium,5.97,5.89,4.28,1210,IGI Lab-Grown,low,2,5,6,5,4.0,4.0,4.0,small,3
Princess,Ideal,G,VVS2,1.02,1.0,72.4,71.0,Excellent,Excellent,Medium to Slightly Thick,5.52,5.5,3.98,3350,GIA,medium,3,5,4,6,4.0,4.0,4.5,small,3
Round,Very Good,H,VS2,1.0,1.01,64.5,56.0,Excellent,Very Good,Slightly Thick to Thick,6.18,6.24,4.01,3680,GIA,medium,3,3,3,4,4.0,3.0,5.5,extra small,2
Round,Ideal,D,VS1,1.56,1.01,61.5,58.0,Excellent,Excellent,Medium,7.41,7.47,4.58,1830,IGI Lab-Grown,low,2,5,7,5,4.0,4.0,4.0,medium,4
Round,Excellent,H,VS2,1.0,1.0,61.5,58.0,Excellent,Excellent,Slightly Thick,6.38,6.41,3.94,3520,GIA,medium,3,4,3,4,4.0,4.0,5.0,extra small,2
Cushion Modified,Ideal,F,VS1,2.04,1.01,66.2,62.0,Excellent,Excellent,Medium to Slightly Thick,7.45,7.35,4.87,4860,GIA Lab-Grown,very high,5,5,5,5,4.0,4.0,4.5,large,5
Princess,Ideal,E,VVS2,1.05,1.02,69.3,68.0,Excellent,Very Good,Medium to Slightly Thick,5.77,5.65,3.91,1150,GIA Lab-Grown,very low,1,5,6,6,4.0,3.0,4.5,small,3
Princess,Ideal,D,VS1,1.09,1.01,72.6,68.0,Excellent,Very Good,Slightly Thick to Thick,5.58,5.55,4.03,1120,GIA Lab-Grown,very low,1,5,7,5,4.0,3.0,5.5,small,3
Round,Excellent,F,VS1,1.58,1.0,62.5,56.0,Excellent,Excellent,Medium to Slightly Thick,7.42,7.45,4.64,1730,GIA Lab-Grown,low,2,4,5,5,4.0,4.0,4.5,medium,4
Round,Excellent,D,VS1,1.53,1.0,60.3,59.0,Excellent,Excellent,Medium to Slightly Thick,7.46,7.48,4.5,1860,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.5,medium,4
Round,Ideal,E,VS1,1.59,1.01,61.0,58.0,Excellent,Excellent,Medium,7.51,7.55,4.59,1850,IGI Lab-Grown,low,2,5,6,5,4.0,4.0,4.0,medium,4
Princess,Ideal,G,VVS1,1.01,1.0,72.7,72.0,Excellent,Excellent,Thick,5.43,5.43,3.94,3620,GIA,medium,3,5,4,7,4.0,4.0,6.0,small,3
Round,Very Good,H,VS1,1.0,1.01,64.9,56.0,Excellent,Very Good,Slightly Thick to Thick,6.17,6.25,4.03,3620,GIA,medium,3,3,3,5,4.0,3.0,5.5,extra small,2
Round,Excellent,H,VS2,1.0,1.01,63.2,56.0,Excellent,Excellent,Medium to Slightly Thick,6.32,6.36,4.01,4010,GIA,high,4,4,3,4,4.0,4.0,4.5,extra small,2
Princess,Ideal,E,VS2,1.01,1.0,72.8,71.0,Excellent,Very Good,Medium to Slightly Thick,5.51,5.5,4.0,4180,GIA,high,4,5,6,4,4.0,3.0,4.5,small,3
Princess,Ideal,G,VVS2,1.02,1.02,72.5,71.0,Excellent,Very Good,Slightly Thick,5.62,5.49,3.98,4230,GIA,high,4,5,4,6,4.0,3.0,5.0,small,3
Round,Ideal,D,VS1,1.57,1.01,61.0,59.0,Excellent,Excellent,Medium,7.44,7.51,4.57,1840,IGI Lab-Grown,low,2,5,7,5,4.0,4.0,4.0,medium,4
Princess,Ideal,D,VS1,1.05,1.02,71.8,67.0,Very Good,Excellent,Slightly Thick to Thick,5.68,5.58,4.0,1080,GIA Lab-Grown,very low,1,5,7,5,3.0,4.0,5.5,small,3
Round,Excellent,D,VS1,1.58,1.0,61.7,56.0,Excellent,Excellent,Medium to Slightly Thick,7.47,7.49,4.61,1850,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.5,medium,4
Princess,Ideal,F,VS2,1.01,1.01,73.7,71.0,Excellent,Very Good,Slightly Thick to Thick,5.36,5.3,3.91,3340,GIA,medium,3,5,5,4,4.0,3.0,5.5,small,3
Cushion,Ideal,D,VS1,1.91,1.02,66.2,60.0,Excellent,Excellent,Medium to Slightly Thick,7.28,7.13,4.72,5310,IGI Lab-Grown,very high,5,5,7,5,4.0,4.0,4.5,medium,4
Princess,Ideal,E,VS1,1.05,1.01,71.9,66.0,Excellent,Excellent,Slightly Thick to Thick,5.6,5.56,3.99,1040,GIA Lab-Grown,very low,1,5,6,5,4.0,4.0,5.5,small,3
Princess,Ideal,E,VVS2,1.02,1.01,73.6,65.0,Excellent,Excellent,Medium to Slightly Thick,5.35,5.31,3.91,1190,IGI Lab-Grown,low,2,5,6,6,4.0,4.0,4.5,small,3
Princess,Ideal,E,VS1,1.03,1.01,71.5,71.0,Excellent,Excellent,Slightly Thick,5.56,5.53,3.95,3620,GIA,medium,3,5,6,5,4.0,4.0,5.0,small,3
Round,Ideal,E,VS1,1.59,1.01,60.6,58.0,Excellent,Excellent,Medium,7.52,7.57,4.58,1850,IGI Lab-Grown,low,2,5,6,5,4.0,4.0,4.0,medium,4
Round,Excellent,H,VS1,1.0,1.01,63.2,58.0,Excellent,Excellent,Medium to Slightly Thick,6.3,6.35,4.0,4140,GIA,high,4,4,3,5,4.0,4.0,4.5,extra small,2
Round,Excellent,E,VS1,1.55,1.0,60.7,58.0,Excellent,Excellent,Medium,7.47,7.5,4.54,1770,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.0,medium,4
Round,Excellent,H,VS2,1.01,1.01,62.8,58.0,Excellent,Excellent,Medium to Slightly Thick,6.34,6.39,4.0,3560,GIA,medium,3,4,3,4,4.0,4.0,4.5,small,3
Princess,Ideal,F,VVS2,1.09,1.0,72.7,67.0,Excellent,Excellent,Medium,5.67,5.67,4.12,1210,IGI Lab-Grown,low,2,5,5,6,4.0,4.0,4.0,small,3
Round,Excellent,G,VS2,1.0,1.01,61.5,61.0,Excellent,Very Good,Slightly Thick,6.31,6.4,3.91,4070,GIA,high,4,4,4,4,4.0,3.0,5.0,extra small,2
Round,Excellent,E,VS1,1.52,1.0,60.8,59.0,Excellent,Excellent,Slightly Thick,7.39,7.41,4.5,1730,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,5.0,medium,4
Princess,Ideal,E,VS2,1.02,1.01,71.2,68.0,Excellent,Excellent,Slightly Thick to Thick,5.46,5.43,3.87,3230,GIA,medium,3,5,6,4,4.0,4.0,5.5,small,3
Round,Excellent,G,VS2,1.01,1.0,61.8,58.0,Excellent,Excellent,Medium to Slightly Thick,6.42,6.44,3.97,3230,GIA,medium,3,4,4,4,4.0,4.0,4.5,small,3
Round,Ideal,E,VS1,1.59,1.01,61.2,58.0,Excellent,Excellent,Medium,7.5,7.54,4.6,1850,IGI Lab-Grown,low,2,5,6,5,4.0,4.0,4.0,medium,4
Round,Ideal,E,VS1,1.56,1.01,61.1,57.0,Excellent,Excellent,Medium,7.47,7.52,4.58,1810,IGI Lab-Grown,low,2,5,6,5,4.0,4.0,4.0,medium,4
Cushion Modified,Ideal,D,VVS1,2.64,1.01,64.2,59.0,Excellent,Excellent,Slightly Thick to Thick,7.88,7.8,5.01,6250,GIA Lab-Grown,very high,5,5,7,7,4.0,4.0,5.5,extra large,6
Round,Excellent,E,VS1,1.52,1.0,61.8,57.0,Excellent,Excellent,Medium to Slightly Thick,7.35,7.38,4.55,4310,GIA Lab-Grown,high,4,4,6,5,4.0,4.0,4.5,medium,4
Princess,Ideal,G,VS1,1.02,1.01,71.4,70.0,Excellent,Excellent,Medium to Slightly Thick,5.62,5.58,3.98,3460,GIA,medium,3,5,4,5,4.0,4.0,4.5,small,3
Princess,Ideal,H,VVS2,1.0,1.01,74.3,73.0,Excellent,Excellent,Slightly Thick,5.47,5.43,4.03,2970,GIA,medium,3,5,3,6,4.0,4.0,5.0,extra small,2
Round,Excellent,H,VS2,1.0,1.0,60.5,61.0,Excellent,Excellent,Medium to Slightly Thick,6.44,6.47,3.9,4070,GIA,high,4,4,3,4,4.0,4.0,4.5,extra small,2
Round,Excellent,H,VS1,1.01,1.01,62.4,57.0,Excellent,Excellent,Medium to Slightly Thick,6.36,6.4,3.98,3850,GIA,high,4,4,3,5,4.0,4.0,4.5,small,3
Princess,Ideal,F,VS2,1.03,1.02,72.0,71.0,Excellent,Excellent,Thick to Very Thick,5.51,5.41,3.9,3020,GIA,medium,3,5,5,4,4.0,4.0,6.5,small,3
Round,Very Good,H,VS2,1.0,1.01,64.5,58.0,Excellent,Very Good,Slightly Thick to Thick,6.16,6.24,4.0,3340,GIA,medium,3,3,3,4,4.0,3.0,5.5,extra small,2
Round,Excellent,H,VS2,1.03,1.01,61.7,59.0,Excellent,Excellent,Medium to Slightly Thick,6.45,6.51,4.0,4090,GIA,high,4,4,3,4,4.0,4.0,4.5,small,3
Round,Excellent,H,VS2,1.05,1.0,62.3,57.0,Excellent,Excellent,Medium to Slightly Thick,6.48,6.51,4.05,4080,GIA,high,4,4,3,4,4.0,4.0,4.5,small,3
Round,Excellent,H,VVS2,1.01,1.0,61.2,58.0,Excellent,Excellent,Medium to Slightly Thick,6.42,6.44,3.94,4010,GIA,high,4,4,3,6,4.0,4.0,4.5,small,3
Round,Excellent,F,VS1,1.55,1.01,60.7,60.0,Excellent,Excellent,Medium to Slightly Thick,7.45,7.5,4.54,1820,GIA Lab-Grown,low,2,4,5,5,4.0,4.0,4.5,medium,4
Round,Very Good,G,VS2,1.01,1.01,63.9,56.0,Excellent,Very Good,Slightly Thick to Thick,6.19,6.27,3.98,3800,GIA,high,4,3,4,4,4.0,3.0,5.5,small,3
Round,Excellent,H,VS2,1.0,1.01,62.2,61.0,Excellent,Excellent,Medium to Slightly Thick,6.33,6.38,3.96,3730,GIA,medium,3,4,3,4,4.0,4.0,4.5,extra small,2
Cushion Modified,Ideal,F,VS1,2.09,1.01,67.3,61.0,Excellent,Excellent,Slightly Thick to Thick,7.4,7.33,4.94,4980,GIA Lab-Grown,very high,5,5,5,5,4.0,4.0,5.5,large,5
Princess,Ideal,E,VS1,1.03,1.04,69.4,73.0,Excellent,Excellent,Medium,5.77,5.56,3.86,1030,IGI Lab-Grown,very low,1,5,6,5,4.0,4.0,4.0,small,3
Round,Excellent,E,VS1,1.58,1.01,61.1,59.0,Excellent,Excellent,Medium to Slightly Thick,7.46,7.5,4.57,1800,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Round,Excellent,D,VS1,1.52,1.0,61.3,58.0,Excellent,Excellent,Medium to Slightly Thick,7.36,7.39,4.52,1780,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.5,medium,4
Cushion Modified,Ideal,E,VS1,1.82,1.0,68.6,61.0,Excellent,Very Good,Thick to Very Thick,7.0,6.98,4.79,2600,GIA Lab-Grown,medium,3,5,6,5,4.0,3.0,6.5,medium,4
Princess,Ideal,D,VS1,1.09,1.01,72.3,68.0,Excellent,Excellent,Thin,5.62,5.59,4.04,1170,IGI Lab-Grown,low,2,5,7,5,4.0,4.0,3.0,small,3
Round,Very Good,H,VS2,1.01,1.02,61.3,63.0,Excellent,Very Good,Slightly Thick to Thick,6.34,6.44,3.92,3900,GIA,high,4,3,3,4,4.0,3.0,5.5,small,3
Princess,Ideal,E,VVS2,1.02,1.02,71.9,69.0,Excellent,Excellent,Slightly Thick,5.46,5.34,3.84,1190,IGI Lab-Grown,low,2,5,6,6,4.0,4.0,5.0,small,3
Round,Very Good,H,VVS2,1.0,1.01,63.8,57.0,Excellent,Very Good,Slightly Thick to Thick,6.18,6.27,3.97,3400,GIA,medium,3,3,3,6,4.0,3.0,5.5,extra small,2
Round,Excellent,F,VS1,1.56,1.01,61.5,60.0,Excellent,Excellent,Medium to Slightly Thick,7.41,7.45,4.57,1830,GIA Lab-Grown,low,2,4,5,5,4.0,4.0,4.5,medium,4
Princess,Ideal,D,VS2,1.01,1.0,72.6,70.0,Excellent,Very Good,Thin to Slightly Thick,5.58,5.56,4.04,4310,GIA,high,4,5,7,4,4.0,3.0,4.0,small,3
Princess,Ideal,H,VVS1,1.0,1.01,72.6,70.0,Excellent,Very Good,Medium to Thick,5.48,5.45,3.95,3100,GIA,medium,3,5,3,7,4.0,3.0,5.0,extra small,2
Princess,Ideal,D,VS1,1.09,1.01,72.6,68.0,Excellent,Excellent,Medium,5.57,5.54,4.02,1170,IGI Lab-Grown,low,2,5,7,5,4.0,4.0,4.0,small,3
Round,Ideal,D,VS1,1.59,1.0,61.9,56.0,Excellent,Excellent,Medium,7.49,7.5,4.64,1860,IGI Lab-Grown,low,2,5,7,5,4.0,4.0,4.0,medium,4
Princess,Ideal,G,VS1,1.01,1.02,69.1,72.0,Excellent,Very Good,Slightly Thick,5.71,5.6,3.87,3660,GIA,medium,3,5,4,5,4.0,3.0,5.0,small,3
Cushion,Ideal,E,VS1,2.0,1.02,66.2,62.0,Excellent,Excellent,Medium to Slightly Thick,7.4,7.22,4.78,4210,IGI Lab-Grown,high,4,5,6,5,4.0,4.0,4.5,medium,4
Round,Ideal,E,VS1,1.59,1.0,60.9,57.0,Excellent,Excellent,Medium,7.53,7.56,4.59,1830,IGI Lab-Grown,low,2,5,6,5,4.0,4.0,4.0,medium,4
Round,Excellent,H,VS2,1.0,1.01,61.3,62.0,Excellent,Very Good,Slightly Thick,6.33,6.41,3.9,3670,GIA,medium,3,4,3,4,4.0,3.0,5.0,extra small,2
Round,Ideal,D,VS1,1.55,1.0,61.1,58.0,Excellent,Excellent,Medium,7.44,7.47,4.56,1810,IGI Lab-Grown,low,2,5,7,5,4.0,4.0,4.0,medium,4
Princess,Ideal,H,VVS1,1.01,1.01,72.1,72.0,Excellent,Excellent,Thick,5.51,5.46,3.93,3080,GIA,medium,3,5,3,7,4.0,4.0,6.0,small,3
Cushion Modified,Ideal,F,VS1,2.1,1.0,66.3,62.0,Excellent,Excellent,Medium to Thick,7.41,7.4,4.91,3080,GIA Lab-Grown,medium,3,5,5,5,4.0,4.0,5.0,large,5
Princess,Ideal,D,VS1,1.1,1.0,69.3,71.0,Excellent,Excellent,Medium to Slightly Thick,5.66,5.64,3.91,1180,IGI Lab-Grown,low,2,5,7,5,4.0,4.0,4.5,small,3
Round,Very Good,H,VS2,1.0,1.01,62.3,57.0,Excellent,Very Good,Thin to Slightly Thick,6.35,6.4,3.97,3890,GIA,high,4,3,3,4,4.0,3.0,4.0,extra small,2
Princess,Very Good,F,VVS1,1.01,1.03,68.5,77.0,Excellent,Very Good,Medium to Slightly Thick,5.78,5.6,3.84,3310,GIA,medium,3,3,5,7,4.0,3.0,4.5,small,3
Princess,Ideal,E,VS1,1.01,1.01,71.3,70.0,Excellent,Very Good,Thick,5.46,5.42,3.87,3620,GIA,medium,3,5,6,5,4.0,3.0,6.0,small,3
Princess,Ideal,G,VVS1,1.03,1.01,71.5,74.0,Excellent,Very Good,Thick,5.61,5.53,3.95,3430,GIA,medium,3,5,4,7,4.0,3.0,6.0,small,3
Round,Excellent,H,VS1,1.0,1.01,62.6,58.0,Excellent,Excellent,Medium to Slightly Thick,6.33,6.38,3.98,3870,GIA,high,4,4,3,5,4.0,4.0,4.5,extra small,2
Cushion Modified,Ideal,G,VS2,1.01,1.01,65.2,63.0,Excellent,Excellent,Slightly Thick to Very Thick,5.84,5.81,3.79,3870,GIA,high,4,5,4,4,4.0,4.0,6.5,small,3
Round,Excellent,E,VS1,1.56,1.01,60.4,59.0,Excellent,Excellent,Medium to Slightly Thick,7.47,7.52,4.53,1780,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Round,Excellent,H,VS1,1.0,1.0,60.5,61.0,Excellent,Excellent,Slightly Thick,6.44,6.46,3.9,3740,GIA,medium,3,4,3,5,4.0,4.0,5.0,extra small,2
Princess,Ideal,E,VS1,1.08,1.01,68.1,65.0,Excellent,Excellent,Medium,5.71,5.67,3.86,1070,IGI Lab-Grown,very low,1,5,6,5,4.0,4.0,4.0,small,3
Princess,Ideal,H,VVS1,1.02,1.01,71.6,70.0,Excellent,Very Good,Slightly Thick to Thick,5.59,5.52,3.95,2960,GIA,medium,3,5,3,7,4.0,3.0,5.5,small,3
Round,Excellent,E,VS1,1.54,1.01,61.9,58.0,Excellent,Excellent,Medium to Slightly Thick,7.38,7.42,4.58,1760,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Round,Excellent,H,VS1,1.0,1.01,63.4,58.0,Excellent,Very Good,Medium to Slightly Thick,6.29,6.38,4.01,3610,GIA,medium,3,4,3,5,4.0,3.0,4.5,extra small,2
Princess,Ideal,G,VVS2,1.01,1.02,72.9,73.0,Excellent,Very Good,Medium to Slightly Thick,5.65,5.52,4.03,3590,GIA,medium,3,5,4,6,4.0,3.0,4.5,small,3
Princess,Ideal,F,VS2,1.01,1.03,71.7,75.0,Excellent,Very Good,Thick to Very Thick,5.59,5.44,3.9,3130,GIA,medium,3,5,5,4,4.0,3.0,6.5,small,3
Cushion Modified,Ideal,E,VVS1,1.69,1.0,66.5,58.0,Excellent,Excellent,Medium to Thick,6.74,6.73,4.48,4910,GIA Lab-Grown,very high,5,5,6,7,4.0,4.0,5.0,medium,4
Round,Ideal,E,VS1,1.58,1.0,60.5,58.0,Excellent,Excellent,Medium,7.52,7.53,4.55,4410,IGI Lab-Grown,high,4,5,6,5,4.0,4.0,4.0,medium,4
Princess,Ideal,D,VS1,1.06,1.0,71.1,66.0,Excellent,Very Good,Medium to Slightly Thick,5.56,5.54,3.94,1090,IGI Lab-Grown,very low,1,5,7,5,4.0,3.0,4.5,small,3
Princess,Ideal,H,VVS2,1.21,1.02,73.3,72.0,Excellent,Excellent,Thick to Very Thick,5.76,5.63,4.13,4230,GIA,high,4,5,3,6,4.0,4.0,6.5,small,3
Princess,Ideal,D,VS1,1.03,1.01,69.3,71.0,Excellent,Excellent,Medium to Slightly Thick,5.53,5.47,3.79,1110,IGI Lab-Grown,very low,1,5,7,5,4.0,4.0,4.5,small,3
Round,Excellent,H,VS2,1.0,1.0,63.0,56.0,Excellent,Excellent,Thin to Slightly Thick,6.34,6.37,4.0,4070,GIA,high,4,4,3,4,4.0,4.0,4.0,extra small,2
Princess,Ideal,E,VS1,1.05,1.0,70.6,70.0,Excellent,Excellent,Medium to Slightly Thick,5.55,5.54,3.91,1040,IGI Lab-Grown,very low,1,5,6,5,4.0,4.0,4.5,small,3
Princess,Ideal,D,VS1,1.02,1.02,72.8,68.0,Excellent,Excellent,Medium,5.47,5.36,3.9,1100,IGI Lab-Grown,very low,1,5,7,5,4.0,4.0,4.0,small,3
Round,Excellent,E,VS1,1.58,1.0,61.5,56.0,Excellent,Excellent,Medium to Slightly Thick,7.48,7.5,4.6,1800,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Cushion Modified,Ideal,F,VS1,2.09,1.02,68.1,63.0,Excellent,Excellent,Slightly Thick to Thick,7.38,7.26,4.94,1800,GIA Lab-Grown,low,2,5,5,5,4.0,4.0,5.5,large,5
Princess,Ideal,E,VVS2,1.07,1.01,73.0,67.0,Excellent,Very Good,Thick to Very Thick,5.56,5.53,4.04,1180,GIA Lab-Grown,low,2,5,6,6,4.0,3.0,6.5,small,3
Princess,Ideal,G,VVS2,1.0,1.03,69.6,72.0,Excellent,Very Good,Medium to Slightly Thick,5.74,5.57,3.88,3020,GIA,medium,3,5,4,6,4.0,3.0,4.5,extra small,2
Round,Excellent,D,VS1,1.57,1.01,61.7,57.0,Excellent,Excellent,Medium to Slightly Thick,7.43,7.47,4.59,1840,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.5,medium,4
Princess,Ideal,H,VVS1,1.03,1.05,74.3,72.0,Excellent,Excellent,Thin to Medium,5.7,5.43,4.03,3100,GIA,medium,3,5,3,7,4.0,4.0,3.5,small,3
Princess,Ideal,G,VS1,1.01,1.03,71.5,75.0,Excellent,Very Good,Slightly Thick to Thick,5.59,5.45,3.9,2850,GIA,medium,3,5,4,5,4.0,3.0,5.5,small,3
Cushion Modified,Ideal,F,VS1,2.05,1.0,67.1,62.0,Excellent,Excellent,Slightly Thick to Thick,7.31,7.3,4.9,2850,GIA Lab-Grown,medium,3,5,5,5,4.0,4.0,5.5,large,5
Round,Excellent,D,VS1,1.59,1.0,60.9,58.0,Excellent,Excellent,Medium,7.52,7.55,4.59,1860,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.0,medium,4
Cushion,Ideal,E,VS1,1.57,1.02,65.3,63.0,Excellent,Excellent,Thin to Medium,6.88,6.77,4.42,1970,IGI Lab-Grown,low,2,5,6,5,4.0,4.0,3.5,medium,4
Princess,Ideal,F,VVS2,1.07,1.01,69.0,67.0,Excellent,Excellent,Medium,5.73,5.67,3.91,1190,IGI Lab-Grown,low,2,5,5,6,4.0,4.0,4.0,small,3
Round,Excellent,D,VS1,1.57,1.01,60.8,58.0,Excellent,Excellent,Medium to Slightly Thick,7.49,7.53,4.57,1840,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.5,medium,4
Round,Very Good,H,VS1,1.0,1.01,62.2,57.0,Excellent,Excellent,Very Thin to Slightly Thick,6.36,6.42,3.97,4130,GIA,high,4,3,3,5,4.0,4.0,3.0,extra small,2
Princess,Ideal,G,VS1,1.03,1.03,74.3,74.0,Excellent,Very Good,Medium to Slightly Thick,5.74,5.56,4.13,3640,GIA,medium,3,5,4,5,4.0,3.0,4.5,small,3
Round,Excellent,H,VS1,1.0,1.01,63.6,58.0,Excellent,Excellent,Medium to Slightly Thick,6.32,6.36,4.03,4140,GIA,high,4,4,3,5,4.0,4.0,4.5,extra small,2
Cushion Modified,Ideal,E,VS1,2.09,1.01,65.9,62.0,Excellent,Excellent,Slightly Thick to Very Thick,7.44,7.38,4.86,3140,GIA Lab-Grown,medium,3,5,6,5,4.0,4.0,6.5,large,5
Cushion,Ideal,D,VS1,1.33,1.01,66.6,60.0,Excellent,Excellent,Thin to Slightly Thick,6.43,6.35,4.23,2160,IGI Lab-Grown,low,2,5,7,5,4.0,4.0,4.0,small,3
Princess,Ideal,F,VS1,1.15,1.02,71.2,66.0,Excellent,Excellent,Medium to Slightly Thick,5.76,5.65,4.02,1120,IGI Lab-Grown,very low,1,5,5,5,4.0,4.0,4.5,small,3
Cushion Modified,Ideal,D,VVS2,2.95,1.02,68.7,61.0,Excellent,Excellent,Slightly Thick to Thick,8.16,7.98,5.48,6050,GIA Lab-Grown,very high,5,5,7,6,4.0,4.0,5.5,extra large,6
Princess,Ideal,H,VS1,1.06,1.0,74.9,67.0,Excellent,Excellent,Thick,5.5,5.5,4.12,3600,GIA,medium,3,5,3,5,4.0,4.0,6.0,small,3
Round,Ideal,E,VS1,1.56,1.01,62.1,56.0,Excellent,Excellent,Medium,7.42,7.47,4.62,1810,IGI Lab-Grown,low,2,5,6,5,4.0,4.0,4.0,medium,4
Princess,Ideal,H,VVS1,1.21,1.01,74.5,69.0,Excellent,Excellent,Thick to Very Thick,5.72,5.64,4.2,4060,GIA,high,4,5,3,7,4.0,4.0,6.5,small,3
Round,Excellent,H,VS1,1.0,1.01,63.0,58.0,Excellent,Excellent,Medium to Slightly Thick,6.32,6.37,4.0,4150,GIA,high,4,4,3,5,4.0,4.0,4.5,extra small,2
Princess,Ideal,E,VS1,1.1,1.01,72.0,71.0,Excellent,Excellent,Medium,5.68,5.6,4.03,1090,IGI Lab-Grown,very low,1,5,6,5,4.0,4.0,4.0,small,3
Princess,Ideal,D,VVS2,1.0,1.0,73.4,70.0,Excellent,Very Good,Thick,5.43,5.41,3.97,1200,GIA Lab-Grown,low,2,5,7,6,4.0,3.0,6.0,extra small,2
Princess,Ideal,D,VS1,1.0,1.0,72.5,71.0,Excellent,Excellent,Slightly Thick to Thick,5.46,5.44,3.94,1080,GIA Lab-Grown,very low,1,5,7,5,4.0,4.0,5.5,extra small,2
Princess,Ideal,E,VS1,1.02,1.01,68.5,74.0,Excellent,Excellent,Slightly Thick to Thick,5.65,5.61,3.84,3640,GIA,medium,3,5,6,5,4.0,4.0,5.5,small,3
Princess,Ideal,H,VS2,1.01,1.02,74.3,70.0,Excellent,Excellent,Thick,5.38,5.29,3.93,2960,GIA,medium,3,5,3,4,4.0,4.0,6.0,small,3
Princess,Ideal,D,VS1,1.03,1.0,70.1,69.0,Excellent,Excellent,Medium,5.54,5.52,3.87,1110,IGI Lab-Grown,very low,1,5,7,5,4.0,4.0,4.0,small,3
Cushion,Ideal,D,VVS2,1.34,1.0,66.5,64.0,Excellent,Excellent,Medium to Thick,6.42,6.41,4.26,2210,IGI Lab-Grown,low,2,5,7,6,4.0,4.0,5.0,small,3
Round,Excellent,H,VS2,1.0,1.01,62.1,57.0,Excellent,Excellent,Medium to Slightly Thick,6.38,6.42,3.97,3810,GIA,high,4,4,3,4,4.0,4.0,4.5,extra small,2
Princess,Ideal,E,VS1,1.05,1.01,70.6,69.0,Excellent,Excellent,Medium,5.63,5.57,3.93,1040,IGI Lab-Grown,very low,1,5,6,5,4.0,4.0,4.0,small,3
Round,Excellent,H,VS2,1.0,1.01,60.6,61.0,Excellent,Excellent,Medium to Slightly Thick,6.42,6.47,3.9,4030,GIA,high,4,4,3,4,4.0,4.0,4.5,extra small,2
Princess,Ideal,E,VS2,1.01,1.01,71.3,74.0,Excellent,Very Good,Slightly Thick,5.62,5.56,3.96,4330,GIA,high,4,5,6,4,4.0,3.0,5.0,small,3
Princess,Ideal,G,VS1,1.01,1.0,71.1,73.0,Excellent,Very Good,Slightly Thick to Thick,5.55,5.55,3.94,5980,GIA,very high,5,5,4,5,4.0,3.0,5.5,small,3
Round,Excellent,D,VS1,1.59,1.0,61.5,58.0,Excellent,Excellent,Medium to Slightly Thick,7.47,7.5,4.6,1860,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.5,medium,4
Princess,Ideal,G,VS2,1.04,1.01,73.8,71.0,Excellent,Very Good,Slightly Thick to Thick,5.51,5.44,4.02,2870,GIA,medium,3,5,4,4,4.0,3.0,5.5,small,3
Princess,Ideal,D,VS1,1.07,1.03,71.5,68.0,Excellent,Excellent,Medium,5.63,5.48,3.92,1150,IGI Lab-Grown,very low,1,5,7,5,4.0,4.0,4.0,small,3
